essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,word_count,normalized_score,true_grade
50,1,"Computers are the greatest tool mankind has. They give people acsess to more information than anything else in the world. they ler us connect faraway places with one click of the button without computers people would never know and learn or do as much as can without computers modern planes or cars would not exist. without computer this very test probaly would not exist so no sconclusion to much time on the computor, because theres more to do than one can doin lifetime",2,3,,5,,,,,,,,,,,,,,,,,,,,,,83,0.3,F
52,1,"Dear @CAPS1 of society I am writing this letter to you to explain the many benefits towards computers. My first reason will explain the many ways computers help you @CAPS2 beleive that people using computers is a very good idea. They beleive this because computers make you really focus and pay attention. This gives you really great eye sight and amazing hand eye cordonation. A important ability that computers have is they are able to teach you about far away places depending on were you live. The reason people would probobility want to visit one of these places on a website would probobility be for vacational purposes. My third reason to why I feel we should keep computers is. There is a lot of websites you can join so that you can speak to your friends as long as there online. IAM, @CAPS3, @CAPS4 exc. These are all great uses for computers. Also people who own a well paying email system on these computer that tells them who wants to sell a piece of machinary, or anything that involves buisness ethics. Now you know my three very important reasons to why computers are a great way to get hand eye cordonation. A great way to learn about other states. And so you can talk to friends and have a email for buisness purposes. I hope you have enjoyed reading this and hope to see you on my side toward this topic.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,241,0.5,D
58,1,"Dear Newspaper, I'm writing to you about the debate that you are having asking if people should use computers. The article stated ""more and more people use computers, but not everyone agrees that this benefits society."" I think people should not use computers. Also technolgy needs to slow down, it's getting to advanced. My first reason why people need to stop spending time on computers is, you don't want to always say to your on your honeymoon ""we could to @LOCATION1 from our computer. And your life will go by fast and you want notice it, your all fat and old. Also @PERCENT1 of people who use computers are over weight because they don't exercis. Secondly the more technology there is, we are going to have less. In addition it feels better when you work and not just sit on your computer, getting a mounthly cheak. In conclusion you live a happier life when explore the. In @PERCENT2 of people who use computer commit suicide. Also if it was or to me I would the use of computers. Bead all the about computers and you will think but like me. I use to be a computer geek.",4,3,,7,,,,,,,,,,,,,,,,,,,,,,201,0.5,D
60,1,"Dear @CAPS1, I, agree that computers are benefits society. The computers have positive effect on people like hand-eye coordination. I helps you learn about other country religios, and other thing. You can communicate, meet other people, and chat tru computers. Another positive fact about computer is that you can find all the information you need and fast. In other words is that computer help a lot of people.",2,2,,4,,,,,,,,,,,,,,,,,,,,,,69,0.2,F
64,1,Dear news paper I think computers good for you because you can use the internet and myspace and videos and some school work like math and essays so yes I do think that computers are good for you because you can do all kind of things on computers. And computers can help you with school a lot and you can print out lots of things and why computers can help you is with your math writing spelling and most defyntly is science and ant also literature. The reason why I chose those @NUM1 things is because you can look those @NUM1 things up on. Computer and get the answer to math and spelling right like read @NUM3 helps you write and spell thats one at the reasons why I like computers because I can get on read @NUM3 and I love doing read @NUM3 a lot and I like the read @NUM3 class also because the computers sometimes I like reading on the computers but not all the time but I have to read that's how I'll first learn how to read by forsing my self forward to read. That's how I'll first learned how to read by computers and putting forse to my self. That's why computers is more important to me and look words up.,4,3,,7,,,,,,,,,,,,,,,,,,,,,,222,0.5,D
69,1,"Some people think it is a good idea and same do not. My opinion is that, I think that people spend a lot of time for good reasons. Here are three reasons why, @NUM1. grownups working, @NUM2. students learning how to type, and @NUM3. communicating with others. My first reason is that parents do a lot of work on computer. For example, they do taxes, paperwork, airline tickets, and the bank. And those are usually all done on the computer so it would be easier if people don't drive. My second reason is students need to learn how to type so they can email or even write on paper. It helps them build learning ability and also, so they can know how to sing the @ORGANIZATION1's. Computers are suppose to be fun for people of any age. My last reason is, communicating with others is a great skill to have so you can talk in person. Computers help because if you mess up of what your trying to say then you could just erase what your trying to say. And in person, you can't. Also you can make plans with one of your friend on something if they live really far or something like that. In my opinion. I think people should be able to go on the computers to do work, playgames, no sites, and many more other things to go on, only if you have a computer at home.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,244,0.5,D
83,1,"Dear Newspaper Computers have been a great learning source and i think it's time we give them some cridit insted of worrying over them. I will be telling you about how I think computers are great. One reason they are vary helpful is that books dont always have all of the information. So if you need to know a fact or need more information for a project you can go on the computer and it's all right there and you will have known more facts then when you started. The second reason is that you can be almost anywhere and half acess to a computer and you might not have a phone but you can talk or send a message. Not everyone has a phone but computers are a secondary way to have a conversation with someone. Another reason, is its not always sunny outside and when it is a rainy day you have a fun way to play and learn without having to be outside. The computer dosnt replace the outdores or exercising it is just a passtime when you dont have the oppertunity to be outside. I hope you liked and understod my reasons and will take them in to concideration when going over the topic.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,210,0.5,D
84,1,I think computers help people out because you can learn about at here thing like @CAPS1 you want a job you can look it up in the computers. Also @CAPS1 you have a problem they will help you out. @CAPS1 you what to go some where you could go and be on the computer and look how it is and @CAPS1 you like it you could go @CAPS1 not look some where else you what to go. I think it a great thing @CAPS1 you look for people in the computer because you could talk to them and see them it realy cool. You can look for coltures in your computer what you want to learn. Like @CAPS1 you have a favert person you what to know about you can look it up in the computer and she videos or you can look up different sites it really cool. There games you can play online there alot of game and fun game learning games. Math game science game different games you what. Also you can us othere people that are planing the game game as you. It realy cool. I think the computer isn't bad for people computer help them a lot.,3,3,,6,,,,,,,,,,,,,,,,,,,,,,203,0.4,D
89,1,"Computers do benefit are society. They have changed the world alot. You can do many things on the internet. On the computer, you can chat with people everywhere. The computer helps the world. These are ways how computers do benefit our society. There are many things you can do on the internet. You can play games with people. You can talk to people on certain websites. You can look up vaction spots. If your tired of being home, then just go on the internet. These are things you can do on the internet. On the computer, there are many settings. Out of all of them, chatting is the best. You can be playing a game and still chat. If you chatting with someone, you can still chat with another person. You can chat with people from across the world. This is why chatting is the best setting. Computer helps the world in many ways. It helps kids if they need to research something. It helps the cops catch the bad people. The computer helps parents get from their children by vaction ads. This is has the computer helps the world. The computer does benifit our society. It has change the world. You can do many things on it. On the computer, you can chat with people from anywhere. The computer helps the world everyday. This is how the computer benifits our society.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,232,0.4,D
90,1,"Dear @CAPS1 and @CAPS2 of the @LOCATION1 @CAPS3 I think that computers are a good thing to use. I know that some people do use the computer instead of enjoying a or exercising, but not everyone does that, The computer is a good resource to invest time in. The effects computers have on people is good (for the most part). The statement is true, people that use the computer can talk with people online and get information quickly than the library. I believe that the effects a computer has on a person, are good effects. When people use a computer they can get information which for research and work (word) That's because, when your on a computer you can simply relax but get available amount of work done. You can also do things while your on the computer, hold your dog, hold your cat, eat, drink, text, call. It's very multi propose (use). But some computers is a bad thing because not how the very expensive and same dont have the money to buy a computer but if you do have, you because they're of people or example @CAPS4 cheated and not a computer he could have good so rich and rumors because the computer is what he needs to be succesful with microsoft so computers are useful and the effect they have on people is a positive one.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,232,0.5,D
96,1,"The use of computers is definetly correct. It is helpful, you can discover new things and much more. Computers makes peoples lives just so much simpler. Computers can help people in magnificent ways by looking for things you despretly need. Like if you were a student and you had to write a paper on @PERSON1. The computer has internet and that like billions of facts @PERSON1 and much more information about every thing. It can be helpful also by looking up the wheather, the new, even things that are happening around the world and even answering questions you have. Discovering things on the computer is something that happens every day. For example I read an article about the @CAPS1 and the @CAPS2 @CAPS3 the next day my teachers gave us a pop quiz on that and I got @NUM1. If a computer can get somebad a @NUM1 on their test think of what else it could do for the world. It might even help sae lives. Of course a computer can be helpful. In way like cheeking the score from yesterdays game, see whats going on in your community, watch videoes, hear music, talk to your friends, relatives get information on places, medical stuff. A computer can basicly do every thing from looking up the games scores to saving a life. The use of computers is, obviously the best dicision.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,230,0.5,D
100,1,"Dear local newspaper, @CAPS1 you know how long you go on the computer for? Well get up and go outside. Thats one of my reasons why I think people spend to much time on it my other reason is your eyesit can go bad. Its a nice sunny day dont wast your time on the computer! Go outside! All, kids @CAPS1 is sit on the computer all day not getting exercis. Did you know @NUM1 out of @NUM2 kids that sit on the computers all day gain at least @NUM3? @PERSON1 told me that. I mean I believe him because its true kids dont get up.There missing a nice day out would you wanna miss a nice sunny day? My finall reason is kids eyesight can go bad. I mean having them stare at a screen all day, thats bad. @PERSON1 told me if your on the computer for @NUM4 hours on the computer for @NUM4 hours straight your eyes can get worst. I remember a tiny when I was on the computer for @NUM4 1/@NUM4 hours my eyes were killing me everything I blink. I know the computer is fun playing games, talking to friends but you should take a break and @CAPS1 something ples. In conclusion just go outside and have fun! @CAPS1 you want to wast a nice sunny day by staying in doors hurting your eyes? I know I @CAPS1!",3,4,,7,,,,,,,,,,,,,,,,,,,,,,236,0.5,D
110,1,"Dear @ORGANIZATION1, I think computers are good to society, because you can read the news paper online, email your friends and family, and can play games and watch videos or movies. Knowing the latest news is very important, news paper are okay but you have to pay for them with the news paper online you can get the latest news for free! This way you can save money and trees. Heres another way of saving trees. E-mailing is a good to talk so some one far away and it's a lot faster than just regular old mailing. E-mail is also good for e-mailing links to cool websites, on e-mail can send a funny picture or a video or an important notice. So, Computers can be your news paper and a good and fast way of communication. It also can be useful for entertainment. Computers are one of the most popular entertainment sources. Computers allow you to go on game sites, watch videos or movies or play on online game on just a regular @CAPS1 game. I know whenever I'm bore I go on my computer and I can always find something to don on line or find a movie to watch. So, computers are very popular, in many areas computers are helpful in news, communication, and entertainment. People just need to look at the positive aspects of computers, then they will see how great they are",3,3,,6,,,,,,,,,,,,,,,,,,,,,,242,0.4,D
116,1,"I agree with the newspaper, people are spending too much time on the computer and not exercising. everyone knows computers addictive. but people need to get out more. but people making it more addicting by creating things such as never ending games and its distracting people from there life, family, work and exercise.",2,2,,4,,,,,,,,,,,,,,,,,,,,,,53,0.2,F
125,1,Computers dont have any affect on kids we just love going on cause we use it for help and this persuade the readers of the local newspaper cause we need to be able to communicate also do writing essays and doing social studies or science homework my ideas are let us go computers cause were not bothering u can just leave us alone and let us do what you need to do cause what computers are what give us information for we have to do and were to do wat we gotta do and u people can just leave us alone cause arent addicting to me or anyone and if we were it still would it matter cause a computers a computer u dont punish it because just punish us from the computer punish us because of it cause its the computer fault it can be addicting cause the computer is device that gives us wat we need and the information we also the computer does favors for us the computer is a amazing thing,3,2,,5,,,,,,,,,,,,,,,,,,,,,,176,0.3,F
137,1,"Dear, news paper I think computers are good, this is because you can learn thing's about faraway places using them, you can also hear about the most recent news and you can communicate with people. In school a lot of the research projects on other places focus on other places around the world. When you use a computer you can read articles about the place and also get pictures and use them in a slideshow or photo story. Their are also educational websites that kids can go on to learn their math facts to multuplication tables @CAPS1 the computer is a good learning tool. The computer can keep you up-to-date with the news to! their are news website that post minute to minute things about world news and tell the world what kind of desaster happened in some far away place on the other side of the world. A lot of the time families are spread all over the world, you can chat with family or friend's that have moved by a simple chat room and you can catch up on what has been happening in each other's lives and that's a good tool for family to stay in touch @CAPS1 the computer has lots of benefits that a lot of people all around the world can use, from learning. About a faraway country to chatting with cuson that lives in california and also knowing whats going on in your own home town.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,249,0.5,D
139,1,"Dear, @ORGANIZATION1, I think computers do have a positive affect on people but I don't think because of computers is the reason people don't exercise or enjoy nature. People make their own choices in life. The computer is just there. If somebody chooses to be on the computer instead of spending time with their family well thats their choice and problem not the computers. Me for example I love working and playing on the computer. Even though I'm on the computer I still do things like talk to my family, I play basketball, and I chill with my homies. Now thats my choice to do all of that. I can easily just sit up in my room and be on the computer all the time. It's nothing wrong with doing that because that is my choice in life. Nobody should be able to tell you to get off the computer because that is your choice in life. If you want to be on the computer instead of going outside thats your choice. Only you know what is best for you.",3,4,,7,,,,,,,,,,,,,,,,,,,,,,184,0.5,D
146,1,Dear local newspaper I think that usieng computers help people becuse if we did not have computers we would not now ehey thing about eneyone or eneything like all of the @CAPS1 I would not now eneything about them but with computers I know alot about them and there lives like @CAPS2 @CAPS3 @CAPS4 got shot in the back of the head and. @CAPS4 got shot to and I know alot about the @ORGANIZATION1 there white people that to fear in to black people and the same with the wars like world @NUM1 and world @NUM2 and the @CAPS5 and @PERSON1 and the @CAPS6 war there was like plain spy palin flying across @LOCATION1 and they shot him down becuse we were trying to see if thay had eney nuculer bombs offer there. And the same with google and yahoo with google you can type in eneything and you will get a answer and most liked a corect answer yahoo and google is great for some worke and products end studying becuse you then you do to and that I think that computer are good.,3,3,,6,,,,,,,,,,,,,,,,,,,,,,185,0.4,D
152,1,"Dear local newspaper, @CAPS1 opinion on the effects computers have on people is a positive effect. Three main reasons are that people learn more about cultures, places, and some people work online. @CAPS1 first reason why computers have a positive effect on people is because they help you learn about cultures around the world. Learning about cultures is very important because if people travel they need to know how they can respect each other. @CAPS1 second reason why computers have a positive effect on people is because they help you learn about places around the world the world. Learning about places is very important because you could get lost. It also helps you by telling you which places are famous to visit. @CAPS1 third reason why computers have a positive effect on people is because some people find jobs online. Other people work online. This benefits people in a positive way. In conclusion computers have a positive effect on people because its helps people learn about cultures, places, and jobs around them.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,172,0.4,D
169,1,"Dear @LOCATION1 @CAPS1, after reading your article about advances in technology, I would like to offer my opinion about this contraversal subject. All around the world, people are using computers to do all sorts of things; weather its for games, the buying and selling of items, talking with people in different countries; the possibilites are endless. This is, however, not nessessarally a good thing. Many people become addicted to computers. Esspecialy adolesents, who enjoy the games that computers offer. From personal experience being addicted to computers, I can honestly say that I was under almost complete control by that computer. My grades started to go down, I stopped interacting with my friends and family, and trouble on things. Many parents watch their children go through this and are sometimes helpless to stop it. This poses a large problem for parents. My word of advice; don't let your children become addicted!",3,3,,6,,,,,,,,,,,,,,,,,,,,,,151,0.4,D
187,1,"Dear,newspaper I think that people should have computers I think that because kids play game to help them learn like math game or read and grown ups can go on websites and watch work out videos and they could pay there bills on the computer to and they dont have it in the store of kids need to do there homework computers are good for that buy thet also have bad stuff like kids say they are doing there homework but they are on youtube myspace or facebook. or other stuff but computers have more good stuff about them they bad things so that? Why I think we should have computers.",3,2,,5,,,,,,,,,,,,,,,,,,,,,,112,0.3,F
189,1,"Dear Newspaper, @CAPS1 you turn there is technology. It's not going to change. Try a schedule. Encouragment helps a lot of people. Activities keep you mind off things read on to find our more. Scheduleing is important. Limit the time on the computer. For every half hour at least @NUM1 minutes outside or with friends. try to memorize the schedule. Encouragement helps me and alot of people! Try to encourage family and friends, The goverment is also trying to fight this. Encouragement helps. Activities can keep people off the computer. Try neighborhood activities. After-school activities for a while. All kinds of stuff is fun. Do you think scheduling helps? Do you like encouragement? Do activities keep you mind off things? then by far this stuff helps.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,128,0.4,D
195,1,"Dear, @ORGANIZATION1, @CAPS1 idea about ""Computers"" is very well thought outside of the box.Well. We sure need computer to look up information these days. Why do we need them now and it dident existed before? Reseach shows over @PERCENT1 of @CAPS2 says computer is everything. Let me explain a little bit further to you what I mean. First, you can look up places, chat with friends and family. @CAPS1 oppinion about using the local internet would be that it's good only for those who knows and not trying to be mean. For little world neve should get to bed at least @NUM1 pm, and never to forget about nature outside of fresh air. In conclusion, internet these days are very good for people.",2,3,,5,,,,,,,,,,,,,,,,,,,,,,125,0.3,F
208,1,"Dear newspaper editor, I have recently heard that some people think that computers have a negative effect on people. Well i think that computers have a positive effect on people. I think that computers have a positive effect on people because it helps make learning about other countries easier. Also, it helps people talk to people from different countries. Another reason is that it helps people learn about different cultures, religions, or traditions. The reason why some peope think that computers have a negative effect on people is because people are spending more time on the computer than spending time with their family. Also, people use the computer more than they use exercise machines, bicycles, or scooters. Now that you know about the positive and negative effects of computers, Which side will you choose? the one against computers or the one for computers. I would choose the one for computers.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,150,0.4,D
209,1,"Dear local newspaper editor, @CAPS1 opinion on the effects of computers on people is that staying on a computer is not that bad it does not rot you brain like video games. are some good reasons why computers are good and help you. Sometimes computers do help with hand-eye coordination. You use the computer to do homework or to search a a stores etc. Some computers are really slow but not all of the new ones for @DATE1, computers can also help you read better it has little . You could play talk to people like your friends. Listening to music is an easy thing to you could a website that has all songs that you like to listen yo many people use the computer to find jobs and use it to look for ways to eat right and work out paying bills online is easyer than paying them for real. The computer is easy way to pay and you should agree with @CAPS1 opinion.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,165,0.4,D
211,1,"Not everyone thinks computers are good for you but they are a very good resorce to find information. It's not good to be on the compoler @NUM1 seven but to be on sometimes is not bad. A person who is on the computer all day and does nothing else except that, then that is not healthy at all. People just have to limit their time on how much they stay on the computer. Dont over due it! Computers are also very good for information as I said earlier. If you have a computer or a laptop and you need to find information on something the internet is there. For kids that need to do homework or a project and they need to look up some facts or information on something they could go on the computer for that. It is so much easier to do that then look for books that has all the facts you need. So computers have very good qulities and resources. They arnt bad or unhealthy unless if that is your life and that is the only thing you do. That is my opinion on computers.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,191,0.4,D
221,1,"Some people @MONTH1 think that computers take up too much time for the important things. But really everything you would like to know is right there. You can learn about nature, cool websites even history. Here are my reasons on the effect on computers. First, you can learn so much about nature online. You can view many types of animals and study them. Learn about plant and the effect they have on life. Also, you can learn about many things on @LOCATION1 and how its changing. Secondly, there are many coll websites you can join. Theres games you can play to keep you occupied during the day. You can even chat online with friends or maybe find long lost friends. School sites are available for students of some studying or help. Lastly, computers show you so much about history. People who things and world famous people from back then compared to famous people now. Most important of all, the life changing story about and how it changes peoples life today. I hope I've you enough to agree with me. As you can see computers have many resources you can learn from learning websites and history arent even half of them. Think about! Thank you for listening",3,3,,6,,,,,,,,,,,,,,,,,,,,,,207,0.4,D
233,1,"Dier: newspaper I thingk the computers are beneficial and consequencial. Computers are beneficial because thy entertainment, inforormational and super yousfall., I injoy all the cool vidio on youtud while older pepole mite wash the news. You can also send mail, it is most semplr. Then sanding a ordnery envelope. Wating for days or even weeks depnding were you live but wegth e-mail it can get ther in a mater of secons, big deforents right. Pepol who depend on computers can uploud inpotan informashon all the pepol on palands of the poles and army yous the internet on there computers to control speshol equenent like @CAPS1.A.V. for the army or everiday monrting sestoms for a policeofficer. I mayself yous a computer to resrech school slot like math and history but computer all arnt good pepole abyous it. Some pepol can hack in to other computers and steel importen information and make your life misardol it can effact your haus onlin players spend countless howsr playing it can mak you game wat, stend les time weth your frend and fameli thy play so offen ther eight weekends and required glasses, computers my complateley replace newsepaper.",4,3,,7,,,,,,,,,,,,,,,,,,,,,,196,0.5,D
236,1,"Dear newspaper people I think computers are good because wat if I have a family member that gose out of town and you want to stay in tuch and I dont have a phone then I can go-on a chatting web sight and stay in with them. When @CAPS1 bored I go on google to look up and pichers and play some games. You can look up one think and find something elsa, but it will cech your eyes. Computers are good were ever you go, it can look up for a project for school. Bur ween you are in school it can help you with spelling, and if u got to know wat contrey has the most people the @CAPS2 will find the ancer as fast as a snap. Computers are advanceing every year. Seart the @CAPS2 was just a screan and a mouse, now we got laptops that you can tack every were. People can get exercis if thay want and thay can enjoy nature thay can bring a laptop. But when you are exercising then you can go right to youtube and lison to some musick and wach funny videos. And thats whay I think computers are good.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,202,0.4,D
245,1,I believe computers are a benefit to society. Computers help hand eye cordination they make it easy to learn about different places and allow people to talk and video chat. Computers teach hand eye cordination when typing and eventually you get so good you dont ever have to look down at the keyboard. you can search for anything on the internet and if you want to learn about a country you can search it and find out all new things you never knew before. Maybe you want to go on vaction to another country and can't decide which country to go to you can go on the computer and look up tourist attractions in those countrys to decide which are you want to go to. If you are on vaction or live in a different place from you and want to see them you can video chat with them over the computer. Those are the reasons why I think that computers are a benifit to our society.,4,3,,7,,,,,,,,,,,,,,,,,,,,,,168,0.5,D
253,1,"Dear @CAPS1, @CAPS2 you think computer's are good to use? More and more people use computer, but not everyone agrees that this benefits soceiety I srong disagree. My first reason is because computer's are not safe. My second reason is computer's could get you in a lot of troble. My @CAPS3 reason is you never know what could happen on the computer. Read on and see why I disagree. First @CAPS4 gonna tell you why I disagree. The reason why I disagree is because computer's are not safe because you could have someone trace where you live at then what? Second - computer's could get you into a lot of trobe such as posting things online or saying mean thing's to people. Next computer's are bad because if someone like's you and you say I dont like you they could post mean and hurt full thing's and then if you friend's see it you will probably get mad. Finally - in concusion thease are all my reason's why I think computer's are not good. You never know what coud happen on a computer there's website's there and some could start a virus on your computer. Also I think computer's are not good because computer's lead to no good so keep your child away from computers. Also be careful what chu @CAPS2.",3,3,,6,,,,,,,,,,,,,,,,,,,,,,235,0.4,D
281,1,"Dear, Local Newspaper writer I believe that computers benefit our society because we could connect to people more faster and easier. And computers @CAPS1 good for our society because of we don't have to spend to much time on the phone. That @CAPS1 why I think computers benefits our society. ""@CAPS1 computers a good thing or bad thing?"" Computers are a good thing because you could email your family or friends any time you want too. But sometimes we don't have to be on the computer so long. That @CAPS1 why I think computers are a good thing. Without computers it will be different because you have to talk to people on the phone or text message. In my opinion I am really thankful that we have computers. And on computers you could go on everything like @ORGANIZATION2, @CAPS2, @CAPS3, @CAPS4, and even work on the computer. That @CAPS1 without computers it will be different. I think people are not spending to much time on the computer"", because a lot of people on the computer to do office work. Computer make things a lot easier for us! But sometimes people take advantage over it. That @CAPS1 why I feel people are not spending too much time on the computer. Last but not least that @CAPS1 why I know computers benefit's our society.",4,3,,7,,,,,,,,,,,,,,,,,,,,,,225,0.5,D
