essay_id,essay,output_1,output_2,answer_counts_1,answer_counts_2,argmax_match,human_grade,output,answer_counts,entropy
739,"Dear @CAPS1, I'm writing to you today about computers I believe that computers can teach you things such as, hand-eye coordination and how that, can open job doors for you. Also you can socialize as well as study with this device. My first reason being socialization. i think that this is a good way to socialize due to the many options. one example would be facebook. This is a social website that is used to connect or reconnect with friends. in a recent poll @NUM1 out of @NUM2 people say that computers had made them more social. Lastly, computers are a good way to socialize because of the range it can travel. You can talk to people without the long distance fees of . This can range from the @CAPS2.S to hungary in seconds. My second reason would be that computers are useful in studies. I would say this because even though books are good they use hard to find. With the computer you can access multiple sites. This being you can from wikipedia all the way to the infamous google in just . Another reason I believe computers are good for studies in that you have endless. you will get a the . The lost . My third and final reason is computer give you exceptional hand-eye coordination can because I know accountant. i asked him, ""@CAPS3 did you take that accounting job?"", and he answered, ""They only took me because I have good hand-eye coordination."" @CAPS4 thats one job exemple, another would be real state. Due to computers multiple options you can look up because in the your client. With good hand-eye, however, you can be more efficiecnt with your work. This could help you lead competition, thus, making you more money. This then ends my essay. Stating with socialization, skipping down to studies and ending right on jobs and and bye's front steps. These are only @NUM3 of the many bountiful things that a computer can do. @CAPS1 I hope you read this with my regards.",D,D,{'D': 10},{'D': 10},True,B,D,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 1.0, 'F': 0.0}",-0.0
1430,"Dear Local Newspaper, @CAPS1 you think computers have a positive or negative effect on people? In my opinion, I would say that computers have negative effects on us. This is because we would get less exercise, less time to enjoy nature, and interacting with family and friends. If your on the computer most of the time at home, how would you get your exercise? You wouldnt because the whole time you would be stuck sitting down at the desktop. This is also a proble because this is how obeseity can occur from no exercies, and just sitting all day. Or people who have heart problems nad need exercise can worsen by being distracted by the computer. Being home on the computer does not let you enjoy nature. Instead of going outside in the warm wheather, having fun people are staying home. This is not good because they should be out having fun, not on the computer all day. Missing time with family and frinds is unexeptable when your on the computer. This is because yar supposed to keep your family and friends company and not daze off on what your doing on the computer. Also you miss family gatherings or leave yar friends lonley. Thats because yar to busy on the camourar nad not paying attention to anyone arand you. This is why I think computers have a negative effect on people. This is because of less exercise, less time to enjoy nature, and interacting with family and friends.",C,C,{'C': 10},{'C': 10},True,C,C,"{'A': 0.0, 'B': 0.0, 'C': 1.0, 'D': 0.0, 'F': 0.0}",-0.0
324,"I think computer have shaped @LOCATION1 to what it is today. Computer help people learn, give people a passtime, and all of that can be managed in a certain space of time so you still have time to go outside. Computers help everyone learn. It makes things easier by typing up essays because you could type it faster and its eaiser to make changes. Also, its cheaper to buy a computer and go on the internet and look up foreign countries then acually going there. Another example, is that a computer teachees you hand-eye coordination from typing and using the mouse. Finally, computers can teach you life lessons by reading articles another person wrote. Computers give bored people passtimes. One example, is that you can play computer games during rainy days or when you can't go outside. Also, you can talk to friends through facebook or aim. Another example, is that you can talk to distant family in another country by using programs such as skype. Finally, you can order stuff online instead of wasting gas and going to the store and the things you might order you can play with outside. A lot of people say computers keep kids inside don't know that their are ways to prevent this. One example is you can use shut-off timers that keep anyone from going onto the computer for to long. Also, many people learn how to manage their time on the computer. Another example, is that parents can make rules that their children aren't allowed to play games on the computer on certain days and/or times. Finally, you can keep the computers in the family room so that children don't play with it all night in their room. Those are just some of the many reasons why computer help @CAPS1. They help us learn, pass the time, and it can all be manage during a certain amount of time. Now reading this I hope you believe that computers benefit society.",B,B,"{'B': 9, 'A': 1}","{'B': 7, 'A': 3}",True,C,B,"{'A': 0.2, 'B': 0.8, 'C': 0.0, 'D': 0.0, 'F': 0.0}",0.7219
1040,"Dear @PERSON1, @CAPS1 name is @PERSON2 and I am here to give you @CAPS1 opinions about computers. Computers are fun and educational. They have lots of websites for games. Such as portaportal, @NUM1.com, they have safe fun games for kids under @NUM2. They also have educational websites that help you with your work. Such as google. Ask your question.com these websites have all the info on things you need help with. They also have @CAPS2, facebook. Yes I know there has been rumors about people threatening over chats. But other than that your able to chat with your friends instead of waiting for your mom to get off the phone. @CAPS2 lets you meet new people without having to tell them who you are. @CAPS1 opinion is that computers are safe in different occassions but are also very fun & educational.",C,C,{'C': 10},{'C': 10},True,D,C,"{'A': 0.0, 'B': 0.0, 'C': 1.0, 'D': 0.0, 'F': 0.0}",-0.0
1412,"Dear @CAPS1 @CAPS2 Readers, Some of you might think people exercise computers. They don't act outside enough or interact with family or pets. You also @MONTH1 think that they are not getting enough exercise.Well you are right but I am going to explain way your wrong. You can do things like learn, socialize, and actually become healthy. The first thing you could do is learn. While you are on the internet you can go to learning websites. Some of thoes websites can teach you about faraway places like @LOCATION1, @ORGANIZATION1, @LOCATION2 and many more. You can also learn about people and their cultures. Take @CAPS3 @CAPS4 for example, you could learn their culture and the @CAPS5 they celebrate and why. Another thing you could do is take online classes if you are having trouble in school. Another thing you could do so the computer is socialize. You might think or say that when you are on the computer you cant socialize with family and friends. Well you can. There are websites like @CAPS6 and facebook where all you do is talk to family and friends. Now you can webcam people. When you webcam you can see the person whom you are talking to you can hear them and they could hear you through a microphone on the webcam. Lastly you could go into chatrooms like @CAPS7 ( aol instant message ) and talk to people while you are on that sight. The last thing you can do is become more healthy. Is it not surprising? yes, you can go onto websites that teach you day by day how to eat right and exercise. Websites like @PERSON1 esang.com car give you a might eating schedual right for your . After that website you could go out and get the you will need. Another thing that the computer offers is hand-eye coordination. While you are looking at the screen your had is controling the "" mouse"" while the, mouse controls where you go on the worldwide web. Lastly you will eventually want to go outside after visiting websites that show you moments and gardens of this world. So now hopefully you agree with me that computers do acctually benift some things in life. I have showed you what you can learn about, talk to people and socialize and lastly help you with your health. ",B,B,{'B': 10},{'B': 10},True,B,B,"{'A': 0.0, 'B': 1.0, 'C': 0.0, 'D': 0.0, 'F': 0.0}",-0.0
3293,"Recently the growing issue of censorship in libraries came to my attention. This is unfortunent in the extreme. People have a right to unmolested knowledge and censoring libraries is a direct violation of that right. Libraries are meant to be a place of learning and they should be kept that way.     History is filled with moments both glorious and inglorious. We aren't always proud of want we do or what happens but those events remain, irrespective of whether or not we choose to acknowledge it. To think turning a blind eye to the less than clean will make it go away is not only unrealistic but also totally ignorent of facts.     I realise that there are some things chilldren should not see or hear and I'm not suggesting we expose them to these things. I'm merely saying that trying to hide them from what we deem to be unclean is neither right nor a good idea in general. We can't shelter our children forever and sooner or latter they will learn things we wish they didn't. This is inevitable. Life doesn't seek to hide its darker side from us at all and to hide it from our children will serve little more than to handicap them. Do children need to be protected for some things? Yes, for a time, they do but it is the role of the induvidual parent to protect their child. Protect the children but don't do so at the expence of everyone else.     Why should the views of some hinder all others? Those who would persume to know what people should see and what they should not are out of touch. Those prudish enough to believe that people need to be protected for natural, form history, or from their own desires have no more right, and preahaps even less than everyone else to interfere with induvidual decision making. People have a right to make their own choices on what them believe but no right to force those oppinions on others.       This essay @MONTH1 make no difference but it has said what needed to be said and thus served it's purpose. With that task completed I can finnish with a good concious.",C,C,"{'C': 5, 'B': 5}","{'C': 8, 'B': 2}",True,C,C,"{'A': 0.0, 'B': 0.35, 'C': 0.65, 'D': 0.0, 'F': 0.0}",0.9341
3291,"Should public libraries have to censor some of the books, movies, and music they have on display? In my opinion they shouldn't have to. We as people have the right to learn, read, and expand our minds in whatever way we see right for us. There are three main reasons as to why I feel 'offensive' pieces of writing, movies, and music should be allowed in public libraries. One reason as to why they should not is that people have been writing and expressing themselves throughout history; therefor, there are far too many pieces that we would have to get rid of in order to eliminate them all. The second reason is that people have different opinions as to what is 'offensive' and what is not. The third reason that will be elaborated on is that people will be exposed to whatever it is you try to hide, if not throught the art of music, movies, or books, then through the real world we live in.     Throughout history, man kind has been writing things down to document experiences, events, and ideas that have happend throughout history. With those expierences come profanity, sexuality, death, and abundant amounts of situations that the public eye might consider 'offensice'.  If you were to try and delete these pieces, one you would be destroying a big part of history, and two there are far too many books, movies, and music pieces that you would have to get rid of. In almost every form of art there is some remark to something negative. If you were to take them out, you would be left with very few, if any books.     The second reason is that poeple have different opinions on what is bad, and what is not. For example, I was going on a band trip with all the other band students, and on the way there we put on a movie. We ended up having to turn off the movie, because one parent found it inappropriate. While that parent didn't like it, other parents were upset we turned it off, because they saw nothing wrong with it. The same rules apply with books and music. It all depends on personal views as to it being 'offensive' or not.      The third reason is that poeple will expierence all of the things you are trying to hide. If you take it out of the library, one will hear about it on the news, on the radio, in a restraunt, in schools, just about anywhere they are. Taking out the pieces in the library, will be useless in the long run. For example, people want to take out a book called, 'The @CAPS1 of @ORGANIZATION1' because it uses the word 'nigger' in the story quite a few times. There are a lot of people that feel it is not appropriate enough to be taught in school. On top of that, they want to get rid of all the books that say 'nigger' and replace them with books that say 'slave' instead. In my opinion that would be a stupid thing to do, because it takes away the authentisity and effectiveness out of the book. In the book when they use the word it is very powerful and makes you think. If you replace it with 'slave' that statement or passage loses its power on its readers.     In conclusion, I strongly feel that libraries should not have to take out the 'offensive' books, music, or movies. If it does happen, we would be deleting part of our history and knowledge. With that if we do it, how will we know what books to take out, if everyone has a different opinion on what is 'offensive' and what is not. Finally, should we do this, it will not solve anything. People in today's society will still be mean, still do sexual things, people will still use harsh language, and people will still expierence 'offensive' actions. That is the society we live in and poeple will have to accept that fact. That is why I feel that we need to keep all of the 'offensive' pieces we have, that way the people reading them might be ready for the real world once it hits them.",A,A,{'A': 10},{'A': 10},True,B,A,"{'A': 1.0, 'B': 0.0, 'C': 0.0, 'D': 0.0, 'F': 0.0}",-0.0
1457,"Dear Local @CAPS1, I think that computers do not effect people bacause I believe that they actually benefit people and the way people live computers do more than have games, In some cases help you gain knowledge computers can be used for entertainment, jobs, research, projects and more. Not just for games. Computers help peopel do their job. For example, if you work as a lawyer, you @MONTH1 need a computer to type your documents up. If you have bad pemanship and have a joblike a lawyer. You @MONTH1 need to refer to something in your document and can't read it, that's a problem. So in that case, that;s where the role of the comuter steps in. I also think that computers do not have effect on people because through garde schoo, sometimes kids need the internet. Some people don't have the option of a library of ther isn't one near them. By using the computer for inofrmation on a project or homework, I think it benefits, not effects. I have one more reason why I think computers benefit, not effect. I believe that if you have a @CAPS2, or @CAPS3, you have a chance to meet people from all over the world. Just by that, you could learn something you could learn their lifestyle and things about thier culture.Thank you for reading my letter, hopefully you will rethink your decision.",C,B,"{'C': 5, 'B': 5}","{'B': 6, 'C': 4}",False,D,B,"{'A': 0.0, 'B': 0.55, 'C': 0.45, 'D': 0.0, 'F': 0.0}",0.9928
414,"Dear local newspaper, @CAPS1 you agree that computers effect people? I think I @CAPS1 agree that computers affect people. I @CAPS1 agree with this statement because people dont get use to doing other things then stay on the computer. One example is that people that @CAPS1 stay on the computer wont have much fun on other people. They wont enjoy as much by stay on the internet. My last example is that doctors sometimes say its not good for you to stay on the the computer. First of all, people that stay on the computer wont have much fun on othe poeple. I know one of my friends love to get on the computer and stay on it for a long period of time. One idea in that there not alot to do on a computer for some people. People dont go out and have fun like going to the mall with your friends. Some people try to focused on the computer if theres something importent they have to do. Thirldy, people wont enjoy themselves. When @CAPS2 on the computer I really dont enjoy myself by just sitting there on the internet. One important fact is that you wont want to enjoy a beautiful day with your family when ther going to the beach. People will take maps for a while and not want to go back to sleep and you wont have nothing else to do for the rest of the day. Sometime you wont have a good life without enjoying it. Lastly, doctors say its not good for you to always stay on the computer. One important fact is that you always need to excersise instead of lamping around. Sometimes might happen to your eyes because your steading looking at the computer. You need to do healthy things to help your body. In conclusion, I had agree on the statement and my reasons why was because you wont have fun. You wont enjoy yourself, and doctors. Say its not good for you I hope you liked my prompt so it can go in the newspaper.",D,D,{'D': 10},{'D': 10},True,C,D,"{'A': 0.0, 'B': 0.0, 'C': 0.0, 'D': 1.0, 'F': 0.0}",-0.0
3549,"Libraries hold many books and movies such as fiction, nonfiction, historical, fantasy, and adventure.  These books have many different styles and portrails and many of these @MONTH1 be takeno offensive but that doesn't mean that they can just be taken off the shelf.     One book that comes to my mind that can be seen as offensive is 'The @CAPS1 of @ORGANIZATION2'.  This book talks about blacks as slaves and how they should be whipped for being let go and it call them @ORGANIZATION1 offensive names yet it is a classic and is in almost every book store or library in the country. Why, because it was written back when slavery was legl and slaves were treated as property not people.    A movie that many people have seen recently is slumdog @CAPS4.  This movie has a boy from a slum being tortured because he knows the answers to the questions on the gameshow '@CAPS2 @CAPS3 to be a @CAPS4?'.  Many indians @CAPS2 are smarter could be offended by this because they are saying if you grow up in a slum you can't be smart.  But, people blow it off because it is a movie so it isn't real.       But if you go to somepeople and ask them about these books are movies some will say they are @ORGANIZATION1 good others might be offended so they might as weel stay on the shelfs.  The book '@CAPS5 @CAPS6' is a book about the civil war could this be scene as offensive showing the thoughts of both sides saying slavery is good and bad at the same time yet it is another classic and will stay on the book shelfs.     So books in libraries shouldn't be censroed because of being offensive to a race, sex, or group; they should stay on the shelf because every books other tahn some childrens books have something offensive.  Thus if we took books off the shelfs for being offensive their would be nothing to read except for 'The @ORGANIZATION1'!",C,C,{'C': 10},"{'B': 1, 'C': 9}",True,C,C,"{'A': 0.0, 'B': 0.05, 'C': 0.95, 'D': 0.0, 'F': 0.0}",0.2864
140,"Dear editor, I have heard that some experts are saying that @CAPS1 spend too much time online. I thoroughly believe they are mistaken. With the use of internet people can learn about faraway places without spending money to go there. Our military uses internet to talk to their family and friends stateside. Also it helps us aquire great hand-eye coordination. If someone was planning a trip to @LOCATION1 they would check the internet often. Firstly, they would check out sites to go to in @LOCATION1. Second, they would check and compare hotels in @LOCATION1. Thirdly, they would check the weather in @LOCATION1. Finally, they would check airports for flights going to and from @LOCATION1. Without the internet planning vacations would be close to impossible. People not only use the internet for pleasure but for communication purphases too. They use web cams to talk online to people in faraway places. It is fast, free, and convinent way to communicate to other people. Our military uses web cams to let the soliders talk to their families. How would you feel if you were a solider fighting for you country and the means to talk to your family is out there, but you could not use it. It is cruel and unjust to keep soliders from talking to their families. Internet also gives us something usefull. It helps us build hand-eye coordination. Hand-eye coordination is used in many things. In basketball you need to be able to look up and dribble at the same time. When you are driving you need to be able to look up and still be able to steer the car. Without hand-eye coordination many more accidents would happen from carliess errors. Internet helps people make the world a safer place. In some aspects the experts are right. We should go out and enjoy nature, but we also need to enjoy and use the internet as well. Some people use it as pleasure and build hand-eye coordination. Whle others use it to talk to their loved ones. Or use it to plan vacations. No matter who you are or what you do internet plays an important part in life.",B,B,"{'B': 8, 'A': 2}","{'B': 8, 'A': 2}",True,B,B,"{'A': 0.2, 'B': 0.8, 'C': 0.0, 'D': 0.0, 'F': 0.0}",0.7219
