essay_id,prompt,output,answer_counts,human_grade
380,"

@CAPS1 that was the sound of a light bulb going off in your head. You learned something new! Yipee, if it internet for computers, you would have to read those boring textbooks. Computers have a good effect on people because they teach so much valuable information, they can answer your question in @NUM1 seconds, and also they give you communication to the entire world! Imagine this, you need to know who the third president of the @CAPS2.S was. Are you going to go to the computer and save a bunch of time? or are you going to walk over to those miserable books? Geuss what... the capital of @LOCATION2 is @LOCATION1, the constitution of the @ORGANIZATION1 says that a person has the right to, and @PERSON1, one of @CAPS3 greatest, was assasinated in his car. If it wasn't for the internet, I wouldn't have known that. @NUM2 in @NUM3 websites on the internet are for educational value, @PERSON2, a technology major at @CAPS4 recently said, The internet is a huge chunk in education, and if it wasn't for computers we wouldn't know the things we do today. Its packed with so much to learn, its very useful to, and forces so much info into them. Lila, a technology major said, ""@PERCENT1 of people communicate through computers, @PERCENT2 through phones, and @PERCENT3 through mail."" @NUM4 in @NUM5 people over the age of nine, have an email. Incredible numbers of emails are sent everyday. What would it be like withour computers? Think about those numbers you just read, isnt that incredible? Computers have a good effect on people because they teach so much valuable information, they can answer your question in @NUM1 seconds, and also they give you communication to the entire world. If you just take a step back, you notice how valuable something really is to you.""
",B,{'B': 10},B
381,"

Dear Local Newspaper, more and more people are getting hooked on computers. I am here to say that computers are not the best way to benefit our society. First off, most @CAPS1 are spending less time with friends/family and more time looking through a screen. Also, it would be so much better for our bodies and minds to go out and enjoy nature instead. Lastly, you can get addicted to the computer. So here are my reasons why computers do not benifit our society. My first reason includes friends and family. more and more people are neglecting to spend time with their loved ones to get to the next level on '@CAPS2 wars.' @CAPS3 this really how we want our future generations growing up, looking blankly at computer screens? I know I don't want that. I lknow this from personal experience. When I was young, I visited my cousin @PERSON1. All I would get to see of him was a quick '@CAPS4', but then held escape to his room to continue clicking angry on the computer. The point @CAPS3 you can't replace family and friends with a computer screen. It's not right. My next argument against computers @CAPS3 about our bodies and minds. The best way to take care of those things @CAPS3 nature. Unfortunately most @CAPS1 aren't getting outside for a wack of exercise due to computers. In fact almost @NUM1 @CAPS1 say they spend more time on the computer than anywhere else. This @CAPS3 not a good way to spend time. We need to solve this issue before more @CAPS1 make the switch from nature to computers. Fresh air, trees and birds are much better than a screen, a couple clicks, and the hum of a machine. My third and final reason @CAPS3 about addiction. So many people are getting adicted to the things they are finding on their computers. Addiction @CAPS3 a very sericuse matter that we need to fix. All of this @CAPS3 pointing to lazyness too from lack of intrest to anything else. I know this from personal experience. When my brother first got his computer he literally locked himself in his room for days. All he did for almost a week was socialize and beat his personal best score on a game. This @CAPS3 not the way to be treating a device. So, as I know you can all see computers don't have a positive impact on our society. First of all computer @CAPS3 over ruling family and friends. Also, nature @CAPS3 becoming less and less of a priority with the computer in mind. Lastly it's becoming a worldwide addiction. Thank you for deeply considering all the arguments that I have to offer. I know it majorly helps people keep in touch globaly, but there are other ways to do it, such as mail.
",B,"{'B': 8, 'A': 2}",B
382,"

Dear Local Newspaper, @ORGANIZATION1's benefit society imensely. They help us learn about far away places, they help us with our school work and the let us communicate with other people online. We need computers. Computers allow us to learn about other countries, people, @CAPS1 etc... How would we learn about places we might want to go on vacation? Or how would we learn about the places we want to see, and the places we want to stay away from? We need computers to do this. We would never even know of some countries if it werent for computers. Next computers help us with our school work. Sometimes we get project spend most of them involve research! Computers make this a whole lot easier on us. Also instead of lugging your text books from school to home and back, we can use online textbooks. Why give us extra work, it's a waste of everyones time. Instead of wasting your minutes talking on a phone, you can chat online. Wasting minutes is wasting money. Who wants to do that? Besides using the keyboard to chat with friends will help you in the future. @NUM1 out of @NUM2 studens, say they prefer to talk online then to call someone. Computers benefit us by easy aces to info. Computers are a lot easier to help us with school work, than textbooks are. Lastly computers let us talk to other people online. Without computers everything would be so much harder.
",B,"{'B': 9, 'C': 1}",D
384,"

Dear @CAPS1, @CAPS2 you think computers have a possitive effect on people? I know I @CAPS2. Computers are good for many reasons: @NUM1 reason is because people can learn about far away places; @NUM2 they can talk to people and learn about their culture and @NUM3 they can teach hand eye coordination. First off if you're taking you want to learn about where you are going. Computers can help with that! Also if you want to find good hotels you can use the computer for that. If you need transportation just log onto google and type in what you're looking for. Now if you are doing a project for school or something on a different area of the world you can log onto your skype, facebook, @CAPS3, @CAPS4, or any other website that you. You can @CAPS2 many things while talking to freinds on the internet, such as: find out school assignments, find out due dates, make dates and many more wonderfull things. Hand-eye coordination is very important. Computers can help with that. Drivers need very good hand-eye coordination; if you don't have that then plan on a big insurece bill. If you don't have good hand eye coordination then you are going to have a hard time with a lot of stuff. So thats why computers are a good thing to have in our society. You can learn about where you are going, stuff that you need to get done, and even become a better driver.
",B,"{'B': 9, 'C': 1}",C
386,"

Dear Newspaper, I believe that computers have a positive effect on people. I believe this because we can talk to people in different countries in a quarter of a second, we can send e-mails to other people, and finally we can go to @LOCATION1, ask @CAPS1 question and get an instant reply. First, we can talk to people in different countries. Did you ever have a relative go on vacation in a foreigh country and have no way of calling them to see if everything is okay? Lets say for instance that they brought their laptops but for at their cellphones. Then, the only way we can contact them is by e-mail. Even if your just happens in you can keep in touch through email. You can even a computer so you can video chat, and not have to wait to get your reply. Next, we can send e-mails to other people. Have you ever set somebody a letter by mail and had to wait two to three days for a reply? Sometimes, your letter is even lost, and these is no way of finding out. Well with e-mail, the wait time of your reply depends on how fast the person whom you are talking to types and most people I know can type a reply in @NUM1 to @NUM2 seconds. I believe that is a from two to three cars. With e-mail those is an eghty three percent chance that your email will not be lost. If for some reason it is lost, there will be a message sent to you telling you that your message was lost and that you need to sent a new message. But most likely chances are that your message wil reach its destination. can go to @LOCATION1, ask @CAPS1 question and get an instant reply. Were you ever wondering about something and the answer was on the tip of your tongue but you just cant think of it? If so you probably would be smart to go to @LOCATION1. You can ask @CAPS1 question and get an instant reply. And I mean @CAPS1 question you can ask questions from wat the price of is in @LOCATION2, to what an is. If you wanted to you could ask math questions as well, such as what is the square root of pi, and what is @NUM3. From @LOCATION1 to myspace the internet is full of information that can have a positive effect on people. This is why I think that the has a positive effect on people, we can talk to people different countries we can send e-mails, and we can ask all sorts of questions.
",B,{'B': 10},B
387,"

Dear, editor @CAPS1 you know, @PERCENT1 of children who spend most of their time on the computer that do not exercize can develop weight problems and blood disorders? That is just one way that advances in computer technology have affected people so far. If advances continue that number will increase and other problems @MONTH1 arise from it. Some other problems that we have @DATE1 that could get worse are, developing a weak immune system, and emotionally seperating yourself from your family. First, lets talk about obesity. Obesity is a terrible sight to see someone go through because of something as silly as being, basically, addicted to the computer. Not only can obesity constrict vital organs but it can lead to blood disorders. Blood disorders, such as high blood pressure and diabetes, can cause you to have a heart attack. Which cuts off oxygen to vital areas of the body. Which leads to, eventually, promote death. Dealing with obesity is bad enough, but seeing them suffer because they have developed a weak immune system is horrable. In my experience I find that people who are on the computer often generally don't have very good immune systems. For example, a friend of mine is on the computer quite often, and has developed a weak immune system. Because of it he misses at least @NUM1 day of school a week. And because he misses so many days a school year he usually keep bad grades. Which is yet another reason why advances in computer technology are a bad idea. So isn't it relatively obvious that advances in technology are a bad idea? Especially being that, children are steadily becoming obese, and developing a weak immune system can affect your life in ways that are totally controllable? So I urge you to write an article about this to stop the growing sickness known as health problems due to technology.
",B,"{'B': 8, 'C': 2}",C
388,"

Almost everyone is effected by computers in some sort of way. Some people think computers are bad because some people spend too much time on their computers. The thing is computers help us with our everyday life. If we want to comunicate with people from around the world to send donations to places in need like @LOCATION1 or @CAPS1, we can use computers to do that. We can chang people's lifes in third world countries with the help of computers. Computers can also help us in school. When a student has to write a report and he has bad handwriting he can just type it up and print it. Or if a student has to do research for an essay she can find the information easily on the computer. Maybe a kid forgot his homework, he can go to his school website and find it. My last point would be that computers are a huge help for buisnesses. When files are lost or misplaced, the worker(s) can use the computer and bring up the back-up file. When they need to order supplies, most times they will go to a web site and order online. Or when updates are posted about up coming events in that company, an e-mail is sent out and is found using a computer. Many people think that people overuse their computers, but that the users fault not ours. We should choose how long were using one computers. Many jobs would be impossible with out computers. It's not about overusing them its about. So over all I say computers are good and very useful when used in the right hands.
",B,"{'B': 9, 'A': 1}",D
389,"

Dear newspaper, I've read your article about peoples opinion on the affects of computers. I believe that having computers are a very good thing. With them we can talk to others from far away, and fast. You can learn a lot too. It also teaches hand-eye coordination. My first reason why they are good is because you ran talk to others. Without computers it would be almost impossible to meet people from far away and talk to them so easily. They even have webcams so you can see each other. You can use @CAPS1, @CAPS2, webcams, or even a simple comment on facebook or myspace. @CAPS2 or webcams are the quichest and maybe even coolest way. Secondly you can learn Computers have so many websites that give out alot of information and resent too. It's muchn easier to get on the internet and type something in then look threw a bunch of books.The internet has dictionaries, news stations, weather, history and where you can find things. With all that you dont even need books. They even have maps and you can print out directions. My final reason is because it teaches hand-eye coordination. When you first start using computers your normally pretty young, and sometimes you don't always type the fastest. Computers have become so advanced that there are even touch-screen and wireless mases. So when you first start you normaly look down to see what your writing, later, adults want you to look at the screen when that becames easy you know that your hand-eye coordination has grown alot better then when you stated. In conclusion I think that computers are a good part of everyday life and that there not bad. They are an easy communication between people, help you learn, and teach good and fast hand-eye coordination in kids.
",B,{'B': 10},C
390,"

I think that computers do benefit us. They allow us to interact with people, talk to family far away, help us with school, gives us easy access to information, and much more people usually have family and friends who live away from each other and the computer allows us to interact with them. The computer lets us email and instant message them, play games against them, be their friend on websites like facebook so you can see recent pictures of them. It's not easy to interact with family and friends who live so far away and the internet allows us to do that. The computer doesn't just let you talk to family and friends but it lets you meet new people and interact with new people from all over the world. It let's you make new friends and play games with them or chat. The computer really helps you to just stay in touch with other people and it's a very easy and convinent way to do so. The next thing the computer helps us with is it entertains us. Children are very hiper and after homework is done, we don't have anything to do so the computer let's us play games on it, chat with friends, watch movies and videos, up load picture, etc. It does alot for us. Kids could hang out after school but if they can go on the computer it allows them want to go home where their parents know that their safe and away from drugs, alcohol, and other bad things they can get into. Just because kids like the computer, that doesn't mean that that's the only thing they do. Kids are very athletic, always playing sports and always hiper but the computer helps that go away. They go to school for hours, then go to basketball or football practice, sometimes we just need a break. The computer isn't always fun but it's very useful. The computer helps us with school. It allows us to type essays and projects. It also allows us easy information to help write the essays. Websites like google and bing are easy websites to help us get good and accurate information about whatever the topic is that we are doing. The computer is very useful when it comes to school. As you can see, the computer is very important in our lives and makes life alot easy and it's your choice how much you want to spend on it. But no matter what, the computer definatly benefits us.
",B,{'B': 10},B
392,"

Many people like computer and like to use them for many different kinds of reason. Some people use them to get online education. Other use them to talk to family and friends that are far away. Also student use them to do research for school. These are reason why computer could be a good devices. There are many people that now have the ability to get a online education because of problem that they have. For example people that can't walk and don't like going to regular school. The computer would help them find website that they could get a free education. The computer would see what level there in like a regular teacher. The computer would make it so easy and better for the people that don't have the ability to walk they can even study for test that they have on the computer. This one reason why many people use computer. Many family use computer to try to look for freind that they haven't seen in a long time or family that are far away. They even contact them by chatting threw websites. They also search for addressed and phone number. Many people get to find there family threw internets. They meet in spot are even come to one another hauses. The computer would allow their dreams to happen by finding their familys. This would be an exciting event for them this why they need computer. This is one very important reason student use computer to research projects. Without computer student won't be able to look for information they need to know. The computer would teach student about people in the past they didn't know or didn't got to meet. The computer would influence them to want to learn more about interesting history. Children need computer to make there intelligence go up higher. These are some reason why I think we all need computer. We need them for people that don't have the ability to walk, for people that have family and friend far away, and for student that would like to learn more. These are all things people enjoy doing on a computer. If there are no computer it would crush everybody dream and future. So this are some reason why many people decide to be on computer.
",C,"{'C': 8, 'B': 2}",C
393,"

@ORGANIZATION1, Are technology is advancing greately and more inventions are coming out; but aren't you worried that people spent to much time on the technology? I know @CAPS1 worried. For example computers. Computers have to technology to go online and chat with various people all around the world. Thas when I get worried. In this essay I will explain why it is bad to spent too much time on computers. it is bad because people don't execisi enjoy mothers nature, and interact with family and friends. Firstly, people are for geting how important it is to excaise. It is very important because it keeps you fit and healthy. With the computers in use people become less fit and healthy. They start getting fat theire carasaprel get high and they stress more. Secondly they don't enjoy mothersnature. When people start going on the computers they stop doing a lot of things. Like stop going outside and getting fresh air. They get c losed in a small bubble and all they case about is the computers. They don't go out to camp, play outside; they don't do nothing. Every day they are on the computer. Finaly, one big main problem is: they stop inter acting with family and friends. When mothers and fathers are oh it they don't pay attention to these young ones and they are always on it. When teenagers are on the computers they don't talk to these parents, they ignore there friends and the people that care about them most. They wont care for everybody, but them selfes @CAPS2 there you have it; that is why I think we should cut down on the computer usage. For these following reasons: People stop exercising and being fit. They stop enjoiying mother nature, and they stop @NUM1 with family and friends. @CAPS2 what do yoo think?
",C,"{'C': 9, 'D': 1}",C
396,"

Dear local newspaper, I think it's okay for people all over the world to use computers: The reason why I @CAPS1 this is because a lot of people us computers for a lot of things. People all over the world use computers for something important, in case of emergency and much more. Us kids/students in @ORGANIZATION1 use computers to go on myspace, facebook, and the chat lie. to talk to our friends or even to talk to other people in the world. We also talk to our family that lives somewhre far away from the @LOCATION1 of lives here in the @LOCATION1 but in a different state. Lots of us kids go to myspace to talk to friends, family, people who we don't even know, people from all over the world and people that we havn't seen in years. Well then agian people also use computers to sell drugs which is very bad for our enviorment. This is one good reason why people are so effective and addictive to their Computers because bad people and drug dealers sell drugs over the enternet and other bad people and drug dealers buy the drugs over the enternet. As far as i know a lot people over the enternet I alson know that the people outside the enternet wouldn't do those things and even the people inside the enternet wouldn't do those bad things and sell drugs over the enternet. The reason why I know this is because they're my friends. They're smart and they just wouldn't do no such thing over the enternet or even at all. I tell you agian to my local newspaper it is okay for the people around the entire world to use any computer, @CAPS2, @NUM1 or anthing as long as they have connection but as for the drug dealers and bad people is up to than if they want to keep doing want they keep doing because eventually they will end up getting cought and getting brought to jail. I tell you that computers are meant to have fun but not meant to drugs over the enternet but anyway
",D,{'D': 10},D
397,"

Now-a-days the technological industries are taking over the modern soceity and are captivating users making them virtually addicted. What good is that? These indulged in the online world are less interactive and showed more signs of depression in recent studies. Also if you are sitting around on the computer all day you aren't burning calories so you are gaining unnecessary weight that could easily be prevented. Going to the library is just as useful if not more useful than going on the internet. lastly, have you thought of the damaging affects, trojans, cyber bullying, violence? In other words, computers are just a negative waste of good money. Families are becoming less and less connected with each other, who's to blame. It's that big book of technology on your desk. Rather than socializing and just spending time with family and friends, computer addicts choose to sit on their butts talking and gaming away. They are teaching our family apart."" @CAPS1 one @LOCATION1 man on her two tennage children's computer obsession. ""I swear they're on that thing for hours on end"" she claims. In an artical I was reading the other day it said that most people who suffer depression admitted to being online for atleast @NUM1 hours per day. What does all of this go to show? Computers are abuse take them out of your child's life, or atleast limit them. Studies prove that @PERCENT1 of people who spend most of their day surfing the web have either over-weight or just on the boarderline of being over-wright. Rather than going into the real world and experiencing life for themselves, they look it up online and rely on other people's opinions. Does this mean anything to you? People who are overweight have a higher risk of aging, and if not, then they have some pretty health problems. All because they didn't want to breath like. When in a library environment people tend to be more and more on task. You @MONTH1 ask yourself the answer is simply that the is too expansive and distracting. If you are in the library you can't get in as much trouble, you can't play online games, or even be looking at things that are innappropriate. Libraries hae more credible sources and reliable information to study from. Not to mention you can go with a family, friend of even be tutored. Computers dont provide that. Going to the library is such a better solution. I must admit, I was before a computer addict, and believe me the effects it has on people are atracious. Now that I've moved on from that period of my life I can honestly say, the addictive grasp it has on you is strong I know. I also know first hand the rewards of being clean from this harmful drug per say. I am more sociable than ever and im dealing with issues much better. I am @NUM2 pounds and in the best shape of my life and I even made by school's cheer team. I often go to the library to study and I must say, im very proud of who I've become. I was spending around @NUM3 hours online and getting on sleep. If I can do it you can tool my name is @CAPS2 and im a computer addiction survivor.""
",B,"{'B': 9, 'A': 1}",B
398,"

Dear Newspaper @CAPS1, @CAPS2 look at advances in technology over the years and can tell what an influence it has had on current day and people. The question is, are these advances for the better? Or will they take a turn for the worst? Today i will be talking to you about technology, and why i think its benefitting society poorly. With people spending less time excercising and enjoying nature, leaving ther social life behind by constanly being on the computer, they dont realize how much they're hurting themselves. The number of obese people especially in children, increases each day. This is caused by lack of excersize because some people are too busy responding to texts, talking on the phone and playing unneeded video games. Not only are they physically harming themselves, but they are definitley missing out on the wonderful aspects of mother nature! Why not get out for a little, escape the technology prison cell you've all been reeled into. The @ORGANIZATION1 is one of the most beautifuly countries in the world, take advantage that! Now, without proper excersize, your putting you heart at serious risks. Even doing smaller things, like jumping jacks or cuntups, can help make you and you heart healthy! Your parents, and even your parents parents, are who brought you into this world, faught for you in times of need, and would do anything to protect you. What would you say if i told you technology was pushing them away? Texting at the dinner table while they are trying to make conversation, never leaving you room because you playing ""fun"" games, hiding behind he face of technology all the things a vast number of people do instead of socializaing with the people who matter most: family and friends. Although your friends @MONTH1 be more easy going they still came that your too busy hanging out with you computer to come meet up with them @CAPS3 single person can live without a friend and that friend needs you! Make some time for the people who have a special place in you heart before they disapper. To sum it up, techology is corrupting the minds of human beings... and it need to stop! like i said be healthy and happy and spend enough time with the people you are about who knows, maybe they an make you happier than your electric companion. So, fellow citizens, leap off that desk chair, shut off your electronic devices, and jump back into the real world.
",C,{'C': 10},B
399,"

Dear @ORGANIZATION1, I have heard that people are thinking of how computers are having a bad effect on people and I disagree. Computers help people so much in schools, work places, and at home. Not having computers would have a worse effect on people then with having computers. For students it is an absolute neccesity to do research , and type essays, letters and so many other writing pieces, and the same goes for all of society. In almost every school all over the country, students use computers on a daily basis. I personally have to log into the computer to type an essay for a class at least twice a week and some @ORGANIZATION1 even more. For example my @CAPS1 teacher asks our class to write a lot of essays or letters. She has told us over and over that if our hand writing is not good she won't grade it. Having the computers to type on removes the fact that if our teacher can't read it she can't grade it. I understand that people would say that it makes people need to hand write the things a lot less and people would lose the ability to hand write things but with such advenced technology on computers and to type anything with such pose, soon hand writing will no longer ne required. Any person for whatever research they need can be found so easily using a computer. For students in any grade level and any class, research projects are going to be assigned by a teacher. Using books and other means of research are slow and in efective. Getting onto a computer and looking up the pic is fast and simple and gives better results than books. The same goes for jobs, for example a person might need to set up a powerpoint presentation. Not only does the computer have powerpoint on it - which is an effective way of setting up projects the computer allows that person to do research all in one place. This makes it so much simplier to get a lot of information and not have to run around getting books and talking to people who know the subject. I understand that computers could ""take control"" of people and people would spend to much time on them. But of the few that do stay on computers to long learn to balance their time, keeping computers would benefit in so many ways. Writing many different essays, letters, typing for projects, and doing research would be done faster and easier.
",B,"{'B': 8, 'A': 2}",C
400,"

Dear Newspaper Readers, @CAPS1 computers have really change the way people use technology. It has made our society different in many ways. People can look at information faster than ever with this device. People can also talk to friends, especially on popular websites, computers are even used in school, mostly in college. @CAPS1 an advantage of using it in school, means so much to the people and there education, computers have changed the human race forever. When my grandparents went to school, they had no idea what a computer was. their guide was priar knowledge, knowledge from a teacher, or a dictionary. We are so fortunate today to have even computers in our school because my grandparents would have loved to have something as quick and as simple as a computer. @CAPS1 access to a computer can really help people inso many different ways, mainly about the world. What is the first place you would go to talk to people online: @CAPS2. Do you man @NUM1 out of @NUM2 people have @CAPS2. The reason why it is so popular paper want to talk to friends that they enjoy talking too. From my experience out from canada have @CAPS2 too, which is surprising. Talking to in country is unbelievable. As you're opportunity for people to make new friend. This can also affect the way people lively. When teenagers attend high school, they have a choice of talking a specific, almost like a helping one classes is because when you are in college, so many in a short amount. I have people who stay up for our their paper. @CAPS1 these are an advantage for everyday life, especially college because it is an oppurtunity for someone to get better at typing computer classes can really help someone trying to learn how to type at a fast pace, and get a caple more hours of sleep! In conclusion, I believe @CAPS1 computers effect our society in a positive way. Thank your for reading this letter, and I hope you can take this into consideration. @CAPS1 computers have dramatically changed lives forever. 
",D,{'D': 10},C
402,"

Dear local Newspaper, I think that computers have a exellent benefit for people. First family friends can communicate from a far distance. Secondly typing on the computer gives people good hand and eye cordnation. Thirdly they give people the ability to learn about faraway places. Lastly it gives student a chance to research a topic they are learning about. Well @CAPS1 do you think? Researcher @PERSON1 said that almost @PERCENT1 of family's live faraway from eachother. computers give the ability for familys to communicate wether its aim or a webcam chat. Also out of the @PERCENT1 of familys that live faraway from each other @PERCENT2 use the computer to comunicate. Hand and eye cordination, some people type without looking and some people are really slow. Typing on a computer give the great hand and eye cordination. Good hand and eye cordination could be used for many things. For example, playing sports or even a simple task like throwing something in the trash. Lastly, have you ever wanted to learn about a place faraway from you live or have you ever researched a topic for school? Well I have. Computer give people the ability to learn about places faraway. For example in the third grade I had to research hammer head sharks. Don't teacher always ask their student to look up a word or a topic on the computer? As I have said before I think computers have a benifit on people. I hope that my three reasons of contacting family and friend and hand and eye cordnation and lastly researching has made you think it a good thing too. Thank you for taking time to read @CAPS1 I had to say and I hope you take it into concideration.
",B,"{'B': 9, 'C': 1}",C
403,"

Dear Local @CAPS1, I think that computers have a posotive effect on people. There is many ways computers can have posotive effects on humans, first computers bring people together and let people interact with each other, They let people talk to each other. Computers also let people learn about new things. The internet has so much information. Computers also let people do things that they can't do with out computers. So computers have a positive effect on people. Computers let people interact with each other. The computers bring people together. People can use the internet to send emails to each other. When you need to write a letter to some one it might take days for them to got it. But with email they would get it the second you send it. There is also website like face book that let you talk to your friends websites like that connect people. When you and you freind cant talk together you just have to get on you computer. Computers also have web camera, those let people talk to echother. and you can see them. It lets people see the other persons facial expressions and hear the there voice which is better than on a phone and writing a letter to someone thats why computers are a positive effect on people Computers also let you learn about new things when ever you want to find somthing out or if you have a question you go to the internet. If you someone else they might not know the answer. Computer let people see pictures and videos. If you wanted to see a picture of @CAPS2 are that you are going into a computer and type it in computers let people see pictures that they couldn't see in real life. Vidios let you watch things like something funny to cheer up you day. If you love a show on to, and you missed it you can find it on computer. That is why computer benifit people positively. Computers also let you do things that you couldn't do without. When a teacher asks me to type a paper I always do it on the computer. If there were no computers I would have to use a typewriter and if I made a mistake I would have to type the whole thing again. Computers also alow you to play music. On the computer you can put a cd in and it will play the music. Computers alow you to do things that couldnt do without Computers benifit society an have a positive effect on people, They let people interact with each other and they bring people together. They let people talk to each other. Computers also let you learn about newthings. They also let you do things that you couldnt do without. Computers have many positive effects on people so I hope you agree that computers benifit soctity
",C,"{'C': 9, 'D': 1}",C
404,"

Dear Local Newspaper, The effects computers have on people as posotive I say that it is posotive because what if your in a rush, and you don't know if you need your rain boots or not? Check the computer! I say that it is posotive because without the computer how would most offices run their buisness? It's too much of a pain to keep everything on files. Especially in schools because the teachers don't keep their grades for students in a filing cabinet! They keep them on the computer, @CAPS1 they'd need a huge filing cabinet. I could understand why some peole think computers have a bad effect on people. They might think that it takes away time from nature, friends and family. But so many people take their laptops to the local park to sit under a tree on warm days and go on the computer there. Especially students do this, they do their homework under the leaves to help them relax. Also, people whose family or friends live in other states, they @MONTH1 not have the house number, or they don't have time for a long conversation, they can e-mail them, or use social networking like facebook, or myspace to look on their profile pages and say a quck, ""@CAPS2, how are you doing?"" Local shop owner @PERSON1 says, ""I barely have time for myself! So when I want to say @CAPS2 to my sister in @LOCATION1, I usually say hello on facebook because I know how she loves to talk my ear off!"" I remember one morning, when I was rushing before school, I had no idea what type of outfit to wear. I checked the local news casting website for the weather forecast and thank god I did! I would have gotten stock in downpour without an umbrella! Computers are also good for if you want to catch up on any news, or just relax and play some games you can. So, if your wondering about the weather to see if today will be a good day to sit under the trees in the park & catch up on typing that report with your partner, then go ahead. But don't forget to e-mail her and ask her first, since you lost her phone number.
",B,"{'B': 6, 'A': 4}",C
405,"

@ORGANIZATION1, @NUM1 out of @NUM2 people surveyed in @LOCATION1, @CAPS1 agree that the use of computers benefits society. I personally concern with these @NUM1 people, computers have a positive effect on people. There are multiple reasons why I think the use of computers really benefits society, including it can teach good hand-eye coordination, give people the ability to learn abour faraway places and people, and even allow people to talk online with other people. Once again I do believe computers can have a positive effect on people. First of all, its's a proven fact that most sports on physical exercise to involve hand-eye coordination to some extent. The computer can help reach people from a very young age good hand-eye coordination. When a person uses a computer they have to keep an eye on the screen but still be able to use the mouse or keyboard. This takes alot of coordination if you think about why don't even love to look at the mouse on keyboard when they are typing, they just know where everything is. People disagree with what I'm saying often use the excuse that when people spend to much time on the computers they aren't getting enough exercise. However, I believe that is not true. The hand-eye coordiantion people learn on the computer help to improve their skill and coordiantion in sports, for example in baseball a person has to be looking at the ball to catch it, but at the samee time they have to move their arm to catch it. That is were the hand-eye coordiantion helps. This proves that computers can benefit society through teaching people hand-eye coordiantion. In addition to this @PERCENT1 of teachers at @ORGANIZATION2 believe that computers can be used as a great tool to help students learn. Computers give people the ability to learn about far away places and people. They give people acess to information about a foreign place or people be available in or other resources areas. On the computer one can go to a search sight and type in my place in the whole world. Then all they have to do is search and they have dozens of with information of that place and pictures, @CAPS2 are a society that is advencing in technology people are learnings learn and they can wtih great the of a button. In addition is think it's also a tool in schools. Teachers can have students do projects about different countries on people and the student can easily that the information on the computer. Computer benefit society in the way that they can teach about different loaction and people. Computers can help people become interested in these different topics and @MONTH1 be even inspire some people to go to these faraway places or hack different people. Finally, @NUM4 out of @NUM5 people asked had some kind of way to contact with people online, whether it was through email or facebook. Computers allow people to take online with other people. In our modern society it is very important that a person has friends, are great why to keep in with friends, if live very far away from you on it haven't to them in a while connecting them on the computer is a great way to keep i touch. Those who disagree with my opinion believe that spending time on the computer means less time with family and friends. I believe taht is just the opposite. Since @CAPS2 are living in modern ages families understand that kid leaves to college they might be going far away or even across the country. Having computer allows that family to chat an easy way to keep in contact talk with each other. People talking each other on line is just another way how computers benefit society. Its now or never! Computers can have benefit society. They reach people hand-eye coordiantion can be use all through our life. Most importantly they give people the ability to learn about faraway places and people. Lastly they allow people to talk online with others. @CAPS2 are living a modern time, society is advancing everyday and computers are a huge part of it! They are having a positive effect on people.
",C,"{'C': 9, 'B': 1}",B
406,"

Dear local newspaper I disagree because people should just enjoying spending time with famimely and not on the computer  doing nothing do you agree with me so far? Frist of being if you wast all you're time being of the computer there is nothing there is nothing you can get done as I have notice many shildren are on computer every right after school playing on the computer. For example my cosiun is on the computer evryday doing  but wasting his time are you still with me. Secondly children should be studying on the computer not playing video games and going in website that are not allowed more then @NUM1 do students and children are on the internet palying video games and doing something the is done everyday also I have seen many kids playing games on the computer. Thirdly student will never learn nothing if they wast there time because computer is for studing and many students don't have there time wisely as they should also many student should be useing comput only sometimes not everyday I have notice that so many students don't learn from compu for because they are not studing tests mre then @PERCENT1 stundent fail classes because of computer. First of people should be spending time with  and friends because they are teh most important people aroun ud not computers. Are still with me? Secondly friends are the most important people I ever had because they care about and love you like you're ther families but what if you just wast youre on computer how are you know all your friends. For example m allways on comput never goes to see her friemds amd her friends to to here because she never cares about their only computer do god get what im saying here. Thirdly family is also important then just being on the computer because they care about you have to at lease spend sometime with family for example many families stop spending time with each othe because computer is important to them. Lastly help you're community is goal because you make you\re city look you don't want it he be massy also many people quit help with commicity servic around the neighbor for example I have see  trash on grounds and because they dont care. Finally going out doing sports and starting fit is very important. First of playing sports is far and youve health but people never play sports anymore just because computer for example @NUM2 people stop playing sports, secondly going to is very import because is good.
",F,{'F': 10},C
